Name,Contact,Specialization
"D E Shaw India SoftwarePvt. Ltd., Hyderabad",Website: www.deshawindia.com Email:agarwala@deshaw.com,"Investment Banking Applications, Internet BasedApplications, Online Services, Electronic Commerce"
"Daksh eServices Pvt Ltd, Gurgaon",Website: www.daksh.com Email: nikhild@daksh.com,"Outsourced email helhdesk services, eCRMconsulting & Solutions, outsourced chat helhdesk services, knowledge management"
"Damco Advanced Technologies, New Delhi",Website: www.damcogroup.com Email: info@damcogroup.com,"AS/400 Solutions - Development and Maintenance, Client Server Applications, E-commerce, Web Design & Internet Applications, Euro Conversions, Year 2000Impact Analysis, Conversion & Testing, Training AS/400 and E-commerce."
"Daniel Measurement & Control (India) Pvt Ltd,Vadodara",Website: www.astdaniel.com Email: software@astdaniel.com,"Embedded software development, Automation solution, software migration & implementation,software development"
"Danlaw Technologies IndiaLtd., Hyderabad",Website: www.danlawtechnologies.comEmail: raju@danlawinc.com,"Embedded Systems, Portal Development, E- Comm,Knowledge Management"
"Data Software ResearchCompany International Ltd., Chennai",Website: www.dsrc.com Email: maurice@dsrc.co.in,"Onsite and Offshore Consultancy Services,Component Technology Development, Professional Education Services, Y2K and Euro Solutions"
"Datacons Pvt. Ltd., Bangalore",Website: www.dcons.com Email: datacons@dcons.com,"Investment, Retail and Merchant Banking, HirePurchase Leasing, Trading and Services, Year 2000 solutions"
"Data-Core (India) Ltd., Calcutta",Website: www.datacoresystems.com Email: debm@dclgroup.com,"Software Development, Data Processing and conversion, Turnkey Projects, Engineering Consultancy"
"Datacraft India Ltd., Mumbai",site: www.datacraft-asia.com Email: amit.mathad@datacraft-asia.com,"Systems Integrations, End - to - end Internet AndIntranet Solutions, Data Communications"
"Datamatics Ltd., Mumbai",Website: www.datamatics.com Email: kanodia@giasbm01.vsnl.net.in,"Bespoke - custom built solutions, Migrations & Re-Engineering, Electronic Publishing & Multimedia, Professional Services"
"Datamatics Technologies Pvt. Ltd., Mumbai",Website: www.datamaticstech.com Email: Manish_modi@datamatics.com,"Content Management, Back Office Processing"
"Datapro Infoworld Ltd., Mumbai",Specialisation: Website: www.dataproinfoworld.com Email:and@dataproindia.com,"Computer Education, Software Products Distribution & Support, Software Products Development,Corporate Training and Education"
"Dawn Consulting, Bangalore",Website: www.consultdawn.com,"Raising venture capital, Mergers & Acquisitions"
"DCM Datasystems Ltd., NewDelhi",Website: www.dcmds.co.in Email:rakesh@cosmos.dcmds.co.in,"VLSI Design, Communications Software, SystemSoftware, Web Applications"
"DCM Technologies Limited, Gurgaon",Website: www.dcmtech.com Email: hbr@dcmtech.co.in,"ASIC Design and Verification, Wireless Technologies, Web Technologies, Embedded Software"
"DDE ORG Systems Ltd.,Bangalore",Website: www.ddeorg.com Email:shankar@ddeorg.soft.net,"Dairy, Telecommunications, Networking / ISP,Internet based applications"
"Deccan Infotech (P) Limited, Bangalore",Email: ayyar1@vsnl.com,"EDP Audit & Training, Y2K Hardware /Software Testing and Remediation, Software Development,Network installation and Audit"
"Deccanet Designs Limited, Bangalore",Website: www.deccanetworld.com Email: venkat@deccanetworld.com,"Switching transmission & access, Convergencetechnologies, Wireless Communication Technologies, Embedded & Telecom Testing technologies"
"Decision Technologies (India) Pvt Ltd, Mumbai",Website: www.dtindia.comEmail: info@dt-india.com,"Application Development, Network AssociatesServices, eBusiness Consulting, Sybase Services"
"Delsoft India Pvt. Ltd., Noida",Website: www.delsoft.com Email: sanjay@delsoft.com,"E.D.A., Chip Design / ASIC Design,Web Content Development, DVT"
"Delsys Infotech Pvt. Ltd., Mumbai",Website: www.delsys-info.com Email: j.daruvala@vsnl.com,"Information technology management consulting, Web marketing, People management, Operationsoutsourcing"
"DESS Technologies,Mumbai",Website: www.dess.net Email:dilip@dess.net,"Scanning Bureau, Image-Based Data Capture andProcessing, Document Management, Intranets"
"Dexterity Business Analysts Private Limited., Chennai",Website: www.dba-corp.com Email: palanivel@dba-corp.com,"Reengineering, Software Development, Web enabling of legacy systems, Maintenance, Support andEnhancement in mainframe and client-server area"
"Dharma Systems Pvt. Ltd., Bangalore",Website: www.dharma.com Email: dinesh@india.dharma.com,Application integration technology for new e-business solutions Products: Dharma eUnify
"Differential TechnologiesLimited, New Delhi",Website: www.worldofdt.com Email:naveen@worldofdt.com,"Web enabled Services, Dot Com incubation Services,Web based corporate solution"
"Digital GlobalSoft Ltd., Bangalore",Website: www.digitalindiasw.com Email: peter.abreo@digital.com,"Telecom software development : Network Management, Dec SS7, Fraud Management, Call Centre Solutions.,Engineering software development and support work in OS, Distributed Computing, Mail Messaging Products, Networking and StorageProducts. , Applications"
"Digitec Engineers & Computech Pvt Ltd, Indore,MP",Website: www.digitec-india.com Email: vijay@digitec-india.net,"Network integration, Wireless & Radio connectivity, Backoffice solutions"
"Directorate of Technical Education, Punjab,Chandigarh",Website: www.disarpunjab.com Email: dte@cnd.nic.in,Training
"Disha Online (P) Ltd, Raipur (MP)",Website: www.dishaonline.org Email: abraham@dishaonline.org,"Custom made software, Web Solutions, E- governance, Training & Education"
"Divas Offshore Software Technologies (P) Ltd, NewDelhi",Website: www.divassoftware.com Email: divas@divassoftware.com,"Financial Software Services, Embedded Systems, Telecom Solutions, Enterprise Solutions"
"divine India Limited,Hyderabad",Website: www.divine.com Email:gobind.baghasingh@divine.com,"Specialisation: Software Design & Development, B2Be-commerce application development"
"DPS Technologies India Pvt Ltd, Calcutta",Website: www.dpsindia.com Email: barman4245@aol.com,"Software Development, E-commerce, Data Processing, Examination Processing, ContentConversion, CAD, CAE, GIS, 3D modelling/walk- through, multi-media, simulation"
"DRS Infosystems Ltd, TamilNadu",Website: www.drsinfosystems.com Email:pioneer.group@usa.net,"Software development, IT training, Systemsintegration, Educational sales"
"DSL Software Ltd., Bangalore",Email: walter.schulz@db.com,"Client Server, Intranet/Internet, IBM Mainframe, Tandem, Core Banking Systems, Electronic Banking,Custodial Services, Private Banking, Investment Banking"
"DSQ Software Limited, Chennai",Website: www..dsqworld.com Email: crkannan@md.in.dsqsoft.com,"Onsite Services, Systems Integration, Packaged Software, Training, Offshore Maintenance, Turnkey Projects, Data Capture, Data Conversion, DataProcessing"
"DSS Infotech Pvt. Ltd., Pune",Website: www.dssinfotech.com Email: rks@dss.co.in,"Manufacturing, Service Industry, Insurance"
"Duncan Infotech, Hyderabad",Website:www.duncaninfotech.com Email:pkm@duncaninfotech.com,"ERP / MRP Solutions, E-commerce / EDI / WebTechnologies/ Intranet / Internet, Euro Currency Solutions, Healthcare Software Solutions"
"Dusk Valley TechnologiesLtd, Gurgaon",Website: www.duskvalley.com Email:raajak@duskvalley.com,"Software development & integration, onsitedevelopment for software, offshore development, application design, multimedia"
"E B C Publishing Pvt. Ltd.,Lucknow",Email: eastern@lw1.vsnl.net.in,"Legal Databases, Case-Law Research Tools, LegalTranscription"
"e Three R Info Systems Pvt Ltd, New Delhi",Website: www.e3r.net Email: atulgupta@e3r.net,"Call/contact centre, back office operations, call centre training, manpower resourcing"
"Eastern Software Systems Ltd., New Delhi",Website: www.ebizframe.com Email: ess@essmail.com,"Application Software Products like ERP, Hospital Management, Distribution"
"e-biz Concepts (India) ltd,Ahmedabad",Website: www.e-bizconcepts.com Email:mayurkamdar@e-bizconcepts.com,"E-Commerce Training, Software Exports, OverseasJob Placement, Software Services"
"E-Brahma Technologies (P) Ltd., Coimbatore",Website: www.e-brahma.com Email: ebrahma@vsnl.com,"E-Commerce, System Integration, Consultancy, Product Support"
"Eclipse Systems Pvt. Ltd., Noida",Website: www.eclsys.com Email: mksinghal@eclsys.com,"Application and systems programming, RBDMS Application Development, Building Websites,Microsoft Windows Programming, Multimedia Application Development, Engineering Drawings"
"Ecom Server India (P) Ltd, Hyderabad",Website: www.ecomserver.com Email: pnsuresh@ecomserver.com,"Call centre solutions, M commerce, E Commece, Middleware, EAI & application development"
"Ecomenable Pvt Ltd, Baroda",Website: www.ecomenable.com Email:ashisht@ecomenable.com,"Encryption & Digital Signatures, Digital Web & WAPCetification, PKI Products, PKI Service"
"EDS - Electronic Data Systems (India) Private Limited, Gurgaon",Website: www.eds.com Email: anjali.jain@eds.com,"Comprehensive integrated solutions, Program and risk management, Onshore/Offshore project execution for mainframes and open systems,Maintenance and production support, Y2K and Euro currency solutions, Migration projects"
"Edutech Information India Ltd., New Delhi",Website: www.informaticsgroup.com Email: d_bajaj@informatics.co.in,"IT Training, Software Development & Consultancy"
"e-enable Technologies Pvt Ltd, New Delhi",Website: www.safewayindia.com Email: info@safewayindia.com,"Groupware Solutions (Lotus notes Domino, CRPSolutions, AS/400 (Training), Authorized Training on IBM & Lotus Products"
"eFunds International Private Limited, Mumbai",Website: www.efunds.com Email: raju.bhatnagar@in.efunds.com,"Banking, IT Enabled Services"
"e-Infochips Pvt. Ltd., Ahmedabad",Website: www.einfochips.com Email: info@einfochips.com,"eBusiness / eCommerce : Web centric solutions, Internet / intranet / extranet applications, Web designservices / portal side development, ASIC design services, GIS based decision support systems"
"EKnowVenture Technologies Pvt Ltd, Bangalore",Website: www.eknowventure.com Email: info@eknowventure.com,"Business Intelligence, eBusiness Application development, Enterprise application Integration"
"Electronics Corporation of Tamil Nadu Limited, Chennai",Website: www.elcot.com Email: elcot@giasmd01.vsnl.net.in,"Facilitation and consultancy for IT projects, Datacapture services like voter ID card, Family card etc., Turnkey projects, Training"
"Elgi Software Ltd.,Coimbatore",Website: www.elgisoftware.com Email:elgisoft@el.jet.co.in,"Textile ERP Package, Customised Software Projects,E-Commerce Projects, Onsite and Offshore, Turnkey Software Project Development and Implementation"
"Elind Computers Ltd,Bangalore",Website: www.elind-india.com Email:elindev@elind-india.com,"Financial B2B exchange solutions, generic B2Bsolutions, securities trading systems"
"Emcure Infotech Ltd, Pune",Website: www.emcureinfotech.com Email: krishna@emcureinfotech.com,"Web-based application development for project & product develoment, Java, EJB, JINI, J2ME, Mobile application, Database-Oracle, SQL,DB2, Applicationserver, Web-logic, Web-sphere, O/S, MS-NT/2000, Unix"
"Emerson Network Power(India) Pvt Ltd, Mumbai",Website: www.tataliebert.com Email:ceo_office@tataliebert.com,"Embedded Software, Microprocessor & DSPProgramming, Software Testing"
"eMR Technology Ventures Pvt. Ltd., Gurgaon",Website: www.emrtechventures.com Email: rohit@emrtechventures.com,"Business Process Outsourcing, Software Development, Outsourced Call Centre, SystemsIntegration"
"Encodex Technologies (India) Pvt. Ltd., Pune",Website: www.encodexindia.com Email: pradnya@encodexindia.com,"Microsoft n-tier, DNA solutions, VB.Net, ASP.Net, Net solutions, Java expertise in J2EE, EJB, Swing, RMI, Enterprise WAP solutions & WAP gatewayimplementation"
"Enlink Infotech Pvt Ltd, Mumbai",Website: www.enlinkit.com Email: information@enlinkit.com,"Customer interaction services, Business ProcessOutsourcing, GIS Services, Data Management, CAD/CAE Services, IT Solutions"
"Entcomm (Asia) Pvt. Ltd.,Chennai",Website: www.entcomm.com Email:nprasadh@entcomm.com,"B2B Solutions, E-Commerce Solutions"
"Eonour Software Ltd., Chennai",Website: www.eonoursoftware.com Email: rkarthik@eonoursoftware.com,"E-commerce solutions, Free backbone for B2B and B2C, Web Hosting, Network Security"
Epicenter Technologies PvtLtd Mumbai,Website: www.epicentertechnology.comEmail: kvjayrao@epicentertechnology.com,"Financial services, Telecom, Banking, IT Services"
"Escosoft Technologies Ltd., New Delhi",Website: www.escosoft-tech.com Email: admehta@vsnl.com,"ERP Implementation, Enterprise Management Solutions, E-Commerce, IT Enabled Services"
"ESN Technologies (I) Pvt Ltd, Hyderabad",Website: www.esntechnologies.com Email: usha@esntechnologies.com,"Internet applications, Wireless/Emabedded Systems,Enterprise solutions, CAD/CAM/ Engineering Applications"
"eSoft Consulting Ltd, Hyderabad",Website: www.consultesoft.com Email: ramakanth@consulesoft.com,"Telecommunication, eBusiness, Customer application development, facility management"
"Esols Worldwide Ltd., Mumbai",Website: www.esolsww.com. Email: ajaykanoria@hotmail.com,"E- Business Solutions, Customised Applications Development, Multimedia Services, OnsiteContracting/Staffing, Systems Integartion,I.T Training, Software Development,Internet & E- Commerce"
"eSpace Technologies Pvt.Ltd., Chennai",Website: www.espacetech.com Email: chandra@espacetech.com,"E-Commerce Architecture, e-Commerce Development & Integration, e-Commerce Security & Network Consulting, E-Commerce Managed WebHosting"
"ESPL Systems PrivateLimited, New Delhi",Email: cmd@eelindia.com,"Expertise on Unix, R & D on Microprocessor basedpackaging machines, Engineering and Manufacturing"
"Essar Information Technology Ltd., Surat (DT)",Website: www.essarinfotech.com Email: rdhariwal@essar.com,"ERP, Systems integration, Manpower outsourcing"
"Essel Software & Services Ltd., Hyderabad",Website: www.esselsoft.com Email: srini@esselsoft.com,"Vertical Application Development, E-CommerceApplications, Customised Software Development, ERP Packages Development and Implementation"
"Esskay Solutions Ltd, Hyderabad",Website: www.ess-kay.com Email: suryakvs@hd2.dot.net.in,Data Warehousing
"Etisbew.com Pvt Ltd,Hyderabad",Website: www.etisbew.com Email:bharath@etisbew.com,"consultany & projects, Software development, Onsiteservices, offshore services"
"Euclid India Limited, Hyderabad",Website: www.euclidnet.com Email: delip@euclidnet.com,"Network Services - planning, design, implementation, operations and optimization, Setting up Turnkey Networks for Telco/ ISPs, VOIP, VPN, DSL and cablebased technologies"
"Euro Info Systems Pvt. Ltd.,Noida",Website: www.euroinfosys.com Email:asapra@euroinfosys.com,"ERP / EBS, Oracle and D2K"
"Eutech Cybernetics (India) Pvt Ltd, Chennai",Website: www.ecyber.com Email: cyber@vsnl.com,"Healthcare IT, Internet portal development, building automation, component development"
"Excel Infotech Ltd, Gurgaon",Website: www.eilinc.com Email:gsmaheshwari@usa.net,"Software Development, E-Commerce, MedicalTranscription, ISP"
"Exel NetCommerce Ltd, Mumbai",Email: lalitsawhney@hfcl.com,"Financial Services, Consumer goods, Automation"
"Eximsoft Technologies Pvt.Ltd., Bangalore",Website: www.eximsoft.com Email:ram@reliancesystems.com,"On Site / Off Shore Services, Training, Consultancy,Packaged software, Data Conversion"
"ExlService.Com (I) Pvt. Ltd., Noida",Website: www.exlservices.com Email: vikram.talwar@exlservices.com,"Back office process, Web/email based process, Voice based process"
"EXplora InfoTech Limited, Ahmedabad",Website: www.xplorainc.com Email: info@xinfy.com,"Systems Integartion, software development, , Smart card applications,Interactive Information Kiosk"
"EZCommerce (India) Limited, Secunderabad",Website: www.dataedgeinc.com Email: dataedge@hd2.dot.net.in,"eBusiness products & Packages, Off-shore services, eBusiness consultancy & BPR, ERP/CRM SCMimplementation"
"FCS Software Solutions Ltd, Noida",Website: www.fcsltd.com Email: helpdesk@fcsltd.com,"Web based application development / E-commerce, ERP (SAP, Oracle Applications), Porting Projects(Client Server Architecture), System Programming (DLL / Data transfer)"
"Fil - Flan Systems, Mumbai",Website: www.fil-flan.com Email: fritz@vsnl.com,"IT Education, SMS Softwares, ICR Software , Web Solutions"
"Financial Technologies (India) Ltd., Mumbai",Website: www.ftindia.com Email: jignesh.shah@ftindia.com,"IPR-centric organization and a specialist in deploying mission-critical, Straight Through Processing technologies for the global financial services industry, that includes Equity, Derivatives, Commodity, Forex,Treasury and Depository operations."
"First Ring I Pvt. Ltd.,Bangalore",Website: www.firstring.com Email:rajdeep.puri@firstring.com,"Inbound customer care, eCommerce CustomerSupport, Email Processing, Telemarketing & Consultancy"
"Firstware SoftwareSolutions, Chennai",Website: www.first-ware.com Email:shyam@first-ware.com,"Internet Solutions, Intranet Consultancy, On-SiteServices, Staffing, Training"
"Ford Business Service Center Private limited, Chennai",Email: nsathasi@ford.com,"Accounting, Transaction processing, Audit/Internal Control, Call Center"
"Freemarkets Services (P) Ltd, Gurgaon",Website: www.freemarkets.com Email: rsarin@freemarkets.com,"Develop & maintain software applications, Research & knowledge management, Develop softwaresolutions"
"Friendly Advanced SoftwareTechnology (P) Ltd., Bangalore",Website: www.nasscom.org/fast Email:fast@fast.stph.net,"Transportation, Distribution and Logistics, E-commerce, Y2K and Euro Currency Solutions, IBM AS/400"
"Frontlinesoft Ltd., Hyderabad",Website: www.frontlinesoft.com Email: nasir@frontlinesoft.com,"E- Commerce Solutions, Client/Server Computing & 3 tier architecture, Database Design & development, Geographic Information System (GIS)"
Future Focus Infotech Pvt. Ltd Chennai,Website: www.focusinfotech.com Email: suresh@focusinfotech.com,"Internet, Intranet & Extranet Deployment, Web Content Development, Contract Staffing, Training (Individual and Corporate)"
"Future Software Limited, Chennai",Website: www.futsoft.com Email: kramani@future.futsoft.com,"Telecommunications, Data Communications, Embedded Systems Software, Product Engineering"
"G M Infotech & Systems PvtLtd, Chennai",Website: www.gminfotech.com Email:kbuhary@gminfotech.com,"Consultancy & Projects, Internet & E-Commerce, ITTraining, Software Development"
"Gamma Software Systems Pvt Ltd, Calcutta",Website: www.gssindia.com Email: gamma@vsnl.com,"Onsite Consulting, Data Bases, E- Commerce, Networking"
"Gate2Biz Pvt Ltd, New Delhi",Website: www.gate2biz.com Email:amrita@gate2biz.com,"B2B e-commerce, e-procurement, e-marketplaces,catalogue management"
"GATI Intellect Systems Ltd, Secunderabad",Website: www.gatiintellect.com Email: meera@gatiintellect.com,"Software Development, Software Migration, OnsiteConsulting, Execution of turnkey projects, Education and Training"
"Gavs Information Service Pvt. Ltd., Chennai",Website: www.gavsin.com Email: dharmendra@gavsin.com,"Application Reengineering, E-CommerceImplementation, Corporate Treasury Information System Development, Mainframe Application Support"
"GE Capital Services India, Gurgaon",Website: www.ge.com Email: gecis.helpline@geind.ge.com,"Back Office Operations, Call Centre, DataProcessing, Revenue Accounting, CBT/WBT Content Development"
"Geine Technologies IndiaPvt Ltd, New Delhi",Website: www.geinetech.com Email:punit@geinetech.com,"eCRM, Portal development, Website designing &developing, e-commerce"
"Genesis Infotech Solutions Pvt. Ltd., Chennai",Website: www.genesisintl.com Email: anand@genesisintl.com,"Client-server technology, E-commerce training and projects, Consultancy"
"Genisys Integrating Systems(I) Pvt. Ltd., Bangalore",Website: www.genuk.com Email:linaraj.urs@genisys-group.com,"Banking and Financial Services, Healthcare andHospitality, Manufacturing, Internet"
"Geodesic Information Systems Ltd., Mumbai",Website: www.geodesic.org Email: pankaj@geodesic.org,"IT Enabled services, e-com, Software Development"
"Geometric Software Solutions Company Ltd., Mumbai",Website: www.geometricsoftware.com Email: manup@geometricsoftware.com,"CAD/CAM/CAE/PDM software solutions and development services; Experise in Geometric Modeling Software (Solid and Surface modeling); Data Translation (IGES,STEP, VDA, ACIS, Parasolid, Properitory formats); Feature Recognition (Automatic& Interactive for I"
"Global Automation India (P) Ltd, Bangalore",Website: www.global.com Email: gopal@integratech.soft.net,"Wireless, Internet / Intranet, Development Tools"
"Global Business TechnologyServices Pvt Ltd, Chennai",Website: www.gbstindia.com Email:gopal@gbsindia.com,"Software development for insurance/reinsurancecompanies, Legacy conversion/Maintenance, Systems integration & Data Warehousing, IT Enabledservices"
"Global Dialnet Limited, New Delhi",Website: www.globaldialnet.com Email: care@bharatnet.com,"Software development/solutions, Web solutions, ASP, Internet Technologies"
"Global Groupware Solutions Pvt Ltd, New Delhi",Website: www.globalgroupware.com Email: sk@globalgroupware.com,"Customer Relation Management, Workflow Applications"
"Global Infosystems Ltd, New Delhi",Website: www.globalinfosys.org Email: md@globalinfosys.org,"IT Consultancy, IT cources, Internet services, Customised projects"
"Global IT Services Ltd.,Calcutta",Website: www.global-itservices.com Email:globalis@cal2.vsnl.net.in,"Multi tier client-server systems design & development,Internet Technologies to Support E-business, Data"
"Global Software (I) Pvt Ltd,Chennai",Website: www.globalsw.com Email:knarayan@globalsw.in.com,"CRM, application management, e-commerce,systems integration"
"Global Tech India Pvt. Ltd., Ahmedabad",Website: www.thegt.com Email: paresh@theGT.com,"Customised Software Development, Multilingual Development, Internet / Intranet, Overseas SoftwareDevelopment"
"Globalsoft Pvt. Ltd., New Delhi",Website: www.globalsoft.co.in Email: vivek@globalsoft.co.in,"Broadcasting Software, Advanced Transactions based web poratls, onsite consulting, EmbeddedSystems/software"
"Globsyn Technologies Ltd., New Delhi",Website: www.globsyn.com Email: globsyn@vsnl.com,"Data warehousing, Enterprise solutions (including IBM Mainframe & AS/400), Web Enablement;Multimedia, EDI / E-commerce, Y2K Solutions"
"Godrej Infotech Ltd, Mumbai",Website: www.godrej.com Email: pk@godrej.com,"ERP consultancy, e-commerce solutions, commercial application software development, IT outsourcing"
"Goenka Infotech Limited, Hyderabad",Website: www.goenkainfotech.com Email: susmita.goenka@goenkainfotech.com,"Independent validation & verification, validation of web page, software maitenance & web enabling oflegacy applications, IT application for Power sector"
"Goldstone Technologies Ltd,Secunderabad",Website: www.goldstonetech.com Email:gopalkm@goldstone.net,"Computing, Data Warehousing, Web CentricApplications Distributed"
"GrapeCity India Pvt. Ltd., New Delhi",Website: www.grapecity.com Email: chittora@grapecity.com,"Development and distribution of Active X components, Consulting Services on Microsoft technologies for Internet and Intranet solutions, Marketing, Support and Implementation of Vertical Market Solutions, Support and training on MicrosoftDeveloper platform"
"Growth Compusoft Exports Ltd., Ahmedabad",Website: www.growthcompusoft.com Email: snk@growthcompusoft.com,Client Server Architecture
"GTL Limited, Mumbai",Website: www.gtllimited.com Email: ajaya@gtl.co.in,"Web Technologies / Internet / Intranet, ERP Solutions/ E-commerce / EDI, Telecom Solutions / Billing Solutions / Communication Software, SoftwareDevelopment"
"Gujarat Informatics Limited, Gujarat",Website: www.gujaratinformatics.com Email: md@gujaratinformatics.com,"e-Governance Projects, Customised Software for government, IT Architecturing, InvestmentConsultants"
"Gujarat Narmada Valley Fertilizer Company,Ahmedabad",Website: www.gnvfc.net Email: addesai@gnvfc.com,"Internet & E-commerce services, VSAT communication, LAN/WAN, IT infrastructure, Digitalcertification"
"Gujarat Venture Finance Ltd., Ahmedabad",Website: www.gvfl.com Email: vishnu@ad1.vsnl.net.in,Venture Capital Assistance
"Gulf Computers Private Limited, Mumbai",Website: www.egulf.com Email: smani@egulf.com,"Oracle : Forms 4.5, Imaging Solutions, Y2K Solutions for various software (COBOL, PL1, Mantis, Easytrieve), C/S environment including Oracle tools(D2K, Des2K, Web apps), VB, Push Button,Sybase., AS 400 development, JAVA, Netscape, C++, Spatialware, Map"
"Hamilton Research & Technology Pvt. Ltd., Calcutta",Website: www.hamiltonresearch.com Email: hart@cal.vsnl.net.in,"Turnkey solution for industrial control and communication system, Embedded controller adapted to different applications"
"Hays DocumentManagement Pvt. Ltd., Chennai",Website: www.hays-plc.com Email: venkat_kumar@haysdm.co.uk,"IT Enabled Services/BPO, Data Acquisition, Image/Data Processing"
"HCC Infotech Ltd, Mumbai",Website: www.hccinfotech.com Email: db@hccinfotech.co.in,"Web based ERP applications, Portal Design & Development, Datawarehousing & Mining,"
"HCL E Serve Technologies Ltd, Noida",Website: www.eserveglobal.com Email: vineet.nayyar@hpsglobal.com,"Call centre -Inbound & outbound, Accounting services, Transaction processing, HR Services"
"HCL Infosystems Ltd, Noida",Website: www.hclinfosystems.com Email: akcd@hclinsys.com,"Application development/maintenance, Technicalhelp-desk services, SAP implementation/ABAP programming, Infrastructure services"
"HCL Perot Systems Pvt Ltd, Noida",Website: www.hclperot.com Email: l.ravichandran@hpsglobal.com,"Investment Banking, Telecom, Energy, Migration, E- Services, Object Development"
"HCL Technologies Ltd, Noida",Website: www.hcltechnologies.com Email: sunayna@hclcomnet.co.in,"Client Server, Imaging, Workflow & ERP, Mainframe, Legacy Systems and AS 400 based solutions, Telecom, Networking, Netcentric software & E- Commerce, Embedded Systems, DSP, ASIC Cores &System Software"
"Healthscribe India Limited,Bangalore",Website: www.healthscribeindia.com Email:healthscribe@healthscribe.com,Medical Trascription
"Hero Corporate Services Ltd, New Delhi",Website: www.herogroup.com Email: skmhnjal@herogroup.com,"ERP Implementation, IT Enabled Services, CRM, Back-Office Processing"
"Heuristix Systems Pvt Ltd, Bangalore",Website: www.heuristix-india.com Email: heuristix@vsnl.com,"Software Engineering Services and Real-Time Software Development, Object Oriented Computing Technology and GUI, Software Quality Assurance -Test Suite Development"
"Hewlett-Packard (India)Software Operations Pvt Ltd, Bangalore",Website: chatt@india.hp.com,"Product Development, Complex Software solutiondevelopment, Leading edge technology, middleware and framework development."
"Hexaware Technologies Limited, Chennai",Website: www.hexaware.com Email: pks@hexaware.com,"ERP, E-Business, Euro services, ESM - Enterprisewide Systems Management, Services -Consulting, Maintenance, Development"
"Hinduja TMT Ltd, Bangalore",Website: www.hindujatmt.com Email:rameshck@htmy.soft.net,"Technology, Media & Telecommunications"
"Hiperworld Cybertech Ltd, New Delhi",Website: www.hiperworld.com Email: as@hiperworld.com,"E Commerce-Netbased, WAP, SMS, ApplicationService Provider, B2B, MarketPlace, SCM, DCM, CRM, Payment gateway"
"Hi-Tech Compucare, Tripura",Email: hitecagt1@hotmail.com,"Maintenance and Support, Software Development, Consultancy, Training"
"HMA STARware Ltd,Chennai",Website: www.hmastarware.com Email:harishmurthi@vsnl.com,"Banking Software Products & Services, Middleware &Switching Products"
"Holool E-Business Pvt Ltd, Hyderabad",Website: www.holool.com Email: mohan@holool.com,"E-business, Oracle support services, E-governance, Consulting"
"Honeywell India SoftwareOperations Pvt. Ltd., Bangalore",Email: contact-hiso@honeywell.com,"Real-time embedded systems, Desktop tools, Internet technologies, Mission critical software"
"HOPE Technologies Ltd.,New Delhi",Website: www.hopeindia.com Email:amit.duttagupta@hope-consulting.com,"CAD, CAM / CAE, GIS, Web enabled electroniccataloging"
"House of Code (India) Pvt. Ltd., Mumbai",Website: www.houseofcode.com Email: sunil@houseofcode.com,"Internet and Intranet, Data Web Housing, Web Enablement"
"Houston Technologies Ltd, New Delhi",Website: www.houstontechnologies.comEmail: bahuja@housontechnologies.com,"Systems Integration, IT Enabled services, Internet 7E-Commerce, Off-shore Services"
"HSBC Electronic Data Processing India Pvt. Ltd., Hyderabad",Website: www.hsbc.com Email: adrianholland@hsbc.com,"Back office operations, IT Enabled Services"
"HTC Software DevelopmentCentre, Chennai",Website: www.htcinc.com Email:madhava@htcinc.com,"Professional Services, Application Outsourcing,Project Management, Packaged Service"
"Huawei Technologies India Pvt Ltd, Bangalore",Website: www.huawei.com Email: jack@in.huawei.com,"Telecom, Network Management, Datacom, Wireless solutions"
"Hughes Software Systems Ltd, Gurgaon",Website: www.hssworld.com Email: info@hss.hns.com,"Protocol stacks - telecom and data communication, Internet and Electronic Commerce offerings, NetworkManagement and Mediation Device Systems, Intelligent Networks & Switching Solutions"
"Human Base India Inc., Bangalore",Website: www.humanbaseindia.com Email: human@vsnl.com,"Business and Financial Applications, Process ControlApplications, Supply Chain Management Systems, Expertise in Japanese Environment"
"Hurix Systems Pvt. Ltd., Mumbai",Website: www.hurix.com Email: subrat.mohanty@hurix.com,E-learning application
i2 Technologies India Pvt.Ltd. Mumbai,Website: www.i2.com Email:firdosh_debara@i2.com,"Electronic business process optimization whichincludes Supply chain management, Product lifecycle management, Customer management"
"IBILT Technologies Ltd, NewDelhi",Website: www.ibilttechnologies.com Email:ashok@ibilttechnologies.com,"Information Strategy planning, Enterprise BusinessApplication, Web Transformation, Network Design & implementation, Knowledge & Data mining"
"IBM Global Services IndiaPvt. Ltd., Bangalore",Website: www.ibm.com Email: ushukla@in.ibm.com,"E-commerce Solutions, ERP Implementation services, Software development and maintenance,Business Intelligence Solutions"
"IBS Software Services (P) Ltd, Trivandrum",Website: www.ibsplc.com Email: vkm@ibsplc.com,"Air transportation business, E-commerce, Web enabling technologies, Finance & Banking,Healthcare"
"iCelerate Technologies Private Limited, Bangalore",Website: www.icelerate.com Email: info@icelerate.com,"Win 95, Win 98, Win NT, C, C++, Web technologies / Database management, Device Drivers / Colour Management / Biometrics, Card personalization including abase management, Device Drivers / Colour Management / Biometrics, Card personalizationincluding ‘Sma"
