Company Name,Place,Website,Email,Specialization
Datamatics Technologies Pvt. Ltd., Mumbai,www.datamaticstech.com,Manish_modi@datamatics.com,"Content Management, Back Office Processing"
Datapro Infoworld Ltd., Mumbai,www.dataproinfoworld.com,and@dataproindia.com,"Computer Education, Software Products Distribution & Support, Software Products Development,Corporate Training and Education"
Dawn Consulting, Bangalore,www.consultdawn.com,,"Raising venture capital, Mergers & Acquisitions"
DCM Datasystems Ltd., NewDelhi,www.dcmds.co.in,rakesh@cosmos.dcmds.co.in,"VLSI Design, Communications Software, SystemSoftware, Web Applications"
DCM Technologies Limited, Gurgaon,www.dcmtech.com,hbr@dcmtech.co.in,"ASIC Design and Verification, Wireless Technologies, Web Technologies, Embedded Software"
DDE ORG Systems Ltd.,Bangalore,www.ddeorg.com,shankar@ddeorg.soft.net,"Dairy, Telecommunications, Networking / ISP,Internet based applications"
Deccan Infotech (P) Limited, Bangalore,,ayyar1@vsnl.com,"EDP Audit & Training, Y2K Hardware /Software Testing and Remediation, Software Development,Network installation and Audit"
Deccanet Designs Limited, Bangalore,www.deccanetworld.com,venkat@deccanetworld.com,"Switching transmission & access, Convergencetechnologies, Wireless Communication Technologies, Embedded & Telecom Testing technologies"
Decision Technologies (India) Pvt Ltd, Mumbai,www.dtindia.com,info@dt-india.com,"Application Development, Network AssociatesServices, eBusiness Consulting, Sybase Services"
Delsoft India Pvt. Ltd., Noida,www.delsoft.com,sanjay@delsoft.com,"E.D.A., Chip Design / ASIC Design,Web Content Development, DVT"
Delsys Infotech Pvt. Ltd., Mumbai,www.delsys-info.com,j.daruvala@vsnl.com,"Information technology management consulting, Web marketing, People management, Operationsoutsourcing"
DESS Technologies,Mumbai,www.dess.net,dilip@dess.net,"Scanning Bureau, Image-Based Data Capture andProcessing, Document Management, Intranets"
Dexterity Business Analysts Private Limited., Chennai,www.dba-corp.com,palanivel@dba-corp.com,"Reengineering, Software Development, Web enabling of legacy systems, Maintenance, Support andEnhancement in mainframe and client-server area"
Dharma Systems Pvt. Ltd., Bangalore,www.dharma.com,dinesh@india.dharma.com,Application integration technology for new e-business solutions Products: Dharma eUnify
Differential TechnologiesLimited, New Delhi,www.worldofdt.com,naveen@worldofdt.com,"Web enabled Services, Dot Com incubation Services,Web based corporate solution"
Digital GlobalSoft Ltd., Bangalore,www.digitalindiasw.com,peter.abreo@digital.com,"Telecom software development : Network Management, Dec SS7, Fraud Management, Call Centre Solutions.,Engineering software development and support work in OS, Distributed Computing, Mail Messaging Products, Networking and StorageProducts. , Applications"
Digitec Engineers & Computech Pvt Ltd," Indore,MP",www.digitec-india.com,vijay@digitec-india.net,"Network integration, Wireless & Radio connectivity, Backoffice solutions"
Directorate of Technical Education," Punjab,Chandigarh",www.disarpunjab.com,dte@cnd.nic.in,Training
Disha Online (P) Ltd, Raipur (MP),www.dishaonline.org,abraham@dishaonline.org,"Custom made software, Web Solutions, E- governance, Training & Education"
Divas Offshore Software Technologies (P) Ltd, NewDelhi,www.divassoftware.com,divas@divassoftware.com,"Financial Software Services, Embedded Systems, Telecom Solutions, Enterprise Solutions"
divine India Limited,Hyderabad,www.divine.com,gobind.baghasingh@divine.com,"Specialisation: Software Design & Development, B2Be-commerce application development"
DPS Technologies India Pvt Ltd, Calcutta,www.dpsindia.com,barman4245@aol.com,"Software Development, E-commerce, Data Processing, Examination Processing, ContentConversion, CAD, CAE, GIS, 3D modelling/walk- through, multi-media, simulation"
DRS Infosystems Ltd, TamilNadu,www.drsinfosystems.com,pioneer.group@usa.net,"Software development, IT training, Systemsintegration, Educational sales"
DSL Software Ltd., Bangalore,,walter.schulz@db.com,"Client Server, Intranet/Internet, IBM Mainframe, Tandem, Core Banking Systems, Electronic Banking,Custodial Services, Private Banking, Investment Banking"
DSQ Software Limited, Chennai,www..dsqworld.com,crkannan@md.in.dsqsoft.com,"Onsite Services, Systems Integration, Packaged Software, Training, Offshore Maintenance, Turnkey Projects, Data Capture, Data Conversion, DataProcessing"
DSS Infotech Pvt. Ltd., Pune,www.dssinfotech.com,rks@dss.co.in,"Manufacturing, Service Industry, Insurance"
Duncan Infotech, Hyderabad,www.duncaninfotech.com,pkm@duncaninfotech.com,"ERP / MRP Solutions, E-commerce / EDI / WebTechnologies/ Intranet / Internet, Euro Currency Solutions, Healthcare Software Solutions"
Dusk Valley TechnologiesLtd, Gurgaon,www.duskvalley.com,raajak@duskvalley.com,"Software development & integration, onsitedevelopment for software, offshore development, application design, multimedia"
E B C Publishing Pvt. Ltd.,Lucknow,,eastern@lw1.vsnl.net.in,"Legal Databases, Case-Law Research Tools, LegalTranscription"
e Three R Info Systems Pvt Ltd, New Delhi,www.e3r.net,atulgupta@e3r.net,"Call/contact centre, back office operations, call centre training, manpower resourcing"
Eastern Software Systems Ltd., New Delhi,www.ebizframe.com,ess@essmail.com,"Application Software Products like ERP, Hospital Management, Distribution"
e-biz Concepts (India) ltd,Ahmedabad,www.e-bizconcepts.com,mayurkamdar@e-bizconcepts.com,"E-Commerce Training, Software Exports, OverseasJob Placement, Software Services"
E-Brahma Technologies (P) Ltd., Coimbatore,www.e-brahma.com,ebrahma@vsnl.com,"E-Commerce, System Integration, Consultancy, Product Support"
Eclipse Systems Pvt. Ltd., Noida,www.eclsys.com,mksinghal@eclsys.com,"Application and systems programming, RBDMS Application Development, Building Websites,Microsoft Windows Programming, Multimedia Application Development, Engineering Drawings"
Ecom Server India (P) Ltd, Hyderabad,www.ecomserver.com,pnsuresh@ecomserver.com,"Call centre solutions, M commerce, E Commece, Middleware, EAI & application development"
Ecomenable Pvt Ltd, Baroda,www.ecomenable.com,ashisht@ecomenable.com,"Encryption & Digital Signatures, Digital Web & WAPCetification, PKI Products, PKI Service"
EDS - Electronic Data Systems (India) Private Limited, Gurgaon,www.eds.com,anjali.jain@eds.com,"Comprehensive integrated solutions, Program and risk management, Onshore/Offshore project execution for mainframes and open systems,Maintenance and production support, Y2K and Euro currency solutions, Migration projects"
Edutech Information India Ltd., New Delhi,www.informaticsgroup.com,d_bajaj@informatics.co.in,"IT Training, Software Development & Consultancy"
e-enable Technologies Pvt Ltd, New Delhi,www.safewayindia.com,info@safewayindia.com,"Groupware Solutions (Lotus notes Domino, CRPSolutions, AS/400 (Training), Authorized Training on IBM & Lotus Products"
eFunds International Private Limited, Mumbai,www.efunds.com,raju.bhatnagar@in.efunds.com,"Banking, IT Enabled Services"
e-Infochips Pvt. Ltd., Ahmedabad,www.einfochips.com,info@einfochips.com,"eBusiness / eCommerce : Web centric solutions, Internet / intranet / extranet applications, Web designservices / portal side development, ASIC design services, GIS based decision support systems"
EKnowVenture Technologies Pvt Ltd, Bangalore,www.eknowventure.com,info@eknowventure.com,"Business Intelligence, eBusiness Application development, Enterprise application Integration"
Electronics Corporation of Tamil Nadu Limited, Chennai,www.elcot.com,elcot@giasmd01.vsnl.net.in,"Facilitation and consultancy for IT projects, Datacapture services like voter ID card, Family card etc., Turnkey projects, Training"
Elgi Software Ltd.,Coimbatore,www.elgisoftware.com,elgisoft@el.jet.co.in,"Textile ERP Package, Customised Software Projects,E-Commerce Projects, Onsite and Offshore, Turnkey Software Project Development and Implementation"
Elind Computers Ltd,Bangalore,www.elind-india.com,elindev@elind-india.com,"Financial B2B exchange solutions, generic B2Bsolutions, securities trading systems"
Emcure Infotech Ltd, Pune,www.emcureinfotech.com,krishna@emcureinfotech.com,"Web-based application development for project & product develoment, Java, EJB, JINI, J2ME, Mobile application, Database-Oracle, SQL,DB2, Applicationserver, Web-logic, Web-sphere, O/S, MS-NT/2000, Unix"
Emerson Network Power(India) Pvt Ltd, Mumbai,www.tataliebert.com,ceo_office@tataliebert.com,"Embedded Software, Microprocessor & DSPProgramming, Software Testing"
eMR Technology Ventures Pvt. Ltd., Gurgaon,www.emrtechventures.com,rohit@emrtechventures.com,"Business Process Outsourcing, Software Development, Outsourced Call Centre, SystemsIntegration"
Encodex Technologies (India) Pvt. Ltd., Pune,www.encodexindia.com,pradnya@encodexindia.com,"Microsoft n-tier, DNA solutions, VB.Net, ASP.Net, Net solutions, Java expertise in J2EE, EJB, Swing, RMI, Enterprise WAP solutions & WAP gatewayimplementation"
Enlink Infotech Pvt Ltd, Mumbai,www.enlinkit.com,information@enlinkit.com,"Customer interaction services, Business ProcessOutsourcing, GIS Services, Data Management, CAD/CAE Services, IT Solutions"
Entcomm (Asia) Pvt. Ltd.,Chennai,www.entcomm.com,nprasadh@entcomm.com,"B2B Solutions, E-Commerce Solutions"
Eonour Software Ltd., Chennai,www.eonoursoftware.com,rkarthik@eonoursoftware.com,"E-commerce solutions, Free backbone for B2B and B2C, Web Hosting, Network Security"
Epicenter Technologies PvtLtd Mumbai,,www.epicentertechnology.com,kvjayrao@epicentertechnology.com,"Financial services, Telecom, Banking, IT Services"
Escosoft Technologies Ltd., New Delhi,www.escosoft-tech.com,admehta@vsnl.com,"ERP Implementation, Enterprise Management Solutions, E-Commerce, IT Enabled Services"
ESN Technologies (I) Pvt Ltd, Hyderabad,www.esntechnologies.com,usha@esntechnologies.com,"Internet applications, Wireless/Emabedded Systems,Enterprise solutions, CAD/CAM/ Engineering Applications"
eSoft Consulting Ltd, Hyderabad,www.consultesoft.com,ramakanth@consulesoft.com,"Telecommunication, eBusiness, Customer application development, facility management"
Esols Worldwide Ltd., Mumbai,www.esolsww.com.,ajaykanoria@hotmail.com,"E- Business Solutions, Customised Applications Development, Multimedia Services, OnsiteContracting/Staffing, Systems Integartion,I.T Training, Software Development,Internet & E- Commerce"
eSpace Technologies Pvt.Ltd., Chennai,www.espacetech.com,chandra@espacetech.com,"E-Commerce Architecture, e-Commerce Development & Integration, e-Commerce Security & Network Consulting, E-Commerce Managed WebHosting"
ESPL Systems PrivateLimited, New Delhi,,cmd@eelindia.com,"Expertise on Unix, R & D on Microprocessor basedpackaging machines, Engineering and Manufacturing"
Essar Information Technology Ltd., Surat (DT),www.essarinfotech.com,rdhariwal@essar.com,"ERP, Systems integration, Manpower outsourcing"
Essel Software & Services Ltd., Hyderabad,www.esselsoft.com,srini@esselsoft.com,"Vertical Application Development, E-CommerceApplications, Customised Software Development, ERP Packages Development and Implementation"
Esskay Solutions Ltd, Hyderabad,www.ess-kay.com,suryakvs@hd2.dot.net.in,Data Warehousing
Etisbew.com Pvt Ltd,Hyderabad,www.etisbew.com,bharath@etisbew.com,"consultany & projects, Software development, Onsiteservices, offshore services"
Euclid India Limited, Hyderabad,www.euclidnet.com,delip@euclidnet.com,"Network Services - planning, design, implementation, operations and optimization, Setting up Turnkey Networks for Telco/ ISPs, VOIP, VPN, DSL and cablebased technologies"
Euro Info Systems Pvt. Ltd.,Noida,www.euroinfosys.com,asapra@euroinfosys.com,"ERP / EBS, Oracle and D2K"
Eutech Cybernetics (India) Pvt Ltd, Chennai,www.ecyber.com,cyber@vsnl.com,"Healthcare IT, Internet portal development, building automation, component development"
Excel Infotech Ltd, Gurgaon,www.eilinc.com,gsmaheshwari@usa.net,"Software Development, E-Commerce, MedicalTranscription, ISP"
Exel NetCommerce Ltd, Mumbai,,lalitsawhney@hfcl.com,"Financial Services, Consumer goods, Automation"
Eximsoft Technologies Pvt.Ltd., Bangalore,www.eximsoft.com,ram@reliancesystems.com,"On Site / Off Shore Services, Training, Consultancy,Packaged software, Data Conversion"
ExlService.Com (I) Pvt. Ltd., Noida,www.exlservices.com,vikram.talwar@exlservices.com,"Back office process, Web/email based process, Voice based process"
EXplora InfoTech Limited, Ahmedabad,www.xplorainc.com,info@xinfy.com,"Systems Integartion, software development, , Smart card applications,Interactive Information Kiosk"
EZCommerce (India) Limited, Secunderabad,www.dataedgeinc.com,dataedge@hd2.dot.net.in,"eBusiness products & Packages, Off-shore services, eBusiness consultancy & BPR, ERP/CRM SCMimplementation"
FCS Software Solutions Ltd, Noida,www.fcsltd.com,helpdesk@fcsltd.com,"Web based application development / E-commerce, ERP (SAP, Oracle Applications), Porting Projects(Client Server Architecture), System Programming (DLL / Data transfer)"
Fil - Flan Systems, Mumbai,www.fil-flan.com,fritz@vsnl.com,"IT Education, SMS Softwares, ICR Software , Web Solutions"
Financial Technologies (India) Ltd., Mumbai,www.ftindia.com,jignesh.shah@ftindia.com,"IPR-centric organization and a specialist in deploying mission-critical, Straight Through Processing technologies for the global financial services industry, that includes Equity, Derivatives, Commodity, Forex,Treasury and Depository operations."
First Ring I Pvt. Ltd.,Bangalore,www.firstring.com,rajdeep.puri@firstring.com,"Inbound customer care, eCommerce CustomerSupport, Email Processing, Telemarketing & Consultancy"
Firstware SoftwareSolutions, Chennai,www.first-ware.com,shyam@first-ware.com,"Internet Solutions, Intranet Consultancy, On-SiteServices, Staffing, Training"
Ford Business Service Center Private limited, Chennai,,nsathasi@ford.com,"Accounting, Transaction processing, Audit/Internal Control, Call Center"
Freemarkets Services (P) Ltd, Gurgaon,www.freemarkets.com,rsarin@freemarkets.com,"Develop & maintain software applications, Research & knowledge management, Develop softwaresolutions"
Friendly Advanced SoftwareTechnology (P) Ltd., Bangalore,www.nasscom.org/fast,fast@fast.stph.net,"Transportation, Distribution and Logistics, E-commerce, Y2K and Euro Currency Solutions, IBM AS/400"
Frontlinesoft Ltd., Hyderabad,www.frontlinesoft.com,nasir@frontlinesoft.com,"E- Commerce Solutions, Client/Server Computing & 3 tier architecture, Database Design & development, Geographic Information System (GIS)"
Future Focus Infotech Pvt. Ltd Chennai,,www.focusinfotech.com,suresh@focusinfotech.com,"Internet, Intranet & Extranet Deployment, Web Content Development, Contract Staffing, Training (Individual and Corporate)"
Future Software Limited, Chennai,www.futsoft.com,kramani@future.futsoft.com,"Telecommunications, Data Communications, Embedded Systems Software, Product Engineering"
G M Infotech & Systems PvtLtd, Chennai,www.gminfotech.com,kbuhary@gminfotech.com,"Consultancy & Projects, Internet & E-Commerce, ITTraining, Software Development"
Gamma Software Systems Pvt Ltd, Calcutta,www.gssindia.com,gamma@vsnl.com,"Onsite Consulting, Data Bases, E- Commerce, Networking"
Gate2Biz Pvt Ltd, New Delhi,www.gate2biz.com,amrita@gate2biz.com,"B2B e-commerce, e-procurement, e-marketplaces,catalogue management"
GATI Intellect Systems Ltd, Secunderabad,www.gatiintellect.com,meera@gatiintellect.com,"Software Development, Software Migration, OnsiteConsulting, Execution of turnkey projects, Education and Training"
Gavs Information Service Pvt. Ltd., Chennai,www.gavsin.com,dharmendra@gavsin.com,"Application Reengineering, E-CommerceImplementation, Corporate Treasury Information System Development, Mainframe Application Support"
GE Capital Services India, Gurgaon,www.ge.com,gecis.helpline@geind.ge.com,"Back Office Operations, Call Centre, DataProcessing, Revenue Accounting, CBT/WBT Content Development"
Geine Technologies IndiaPvt Ltd, New Delhi,www.geinetech.com,punit@geinetech.com,"eCRM, Portal development, Website designing &developing, e-commerce"
Genesis Infotech Solutions Pvt. Ltd., Chennai,www.genesisintl.com,anand@genesisintl.com,"Client-server technology, E-commerce training and projects, Consultancy"
Genisys Integrating Systems(I) Pvt. Ltd., Bangalore,www.genuk.com,linaraj.urs@genisys-group.com,"Banking and Financial Services, Healthcare andHospitality, Manufacturing, Internet"
Geodesic Information Systems Ltd., Mumbai,www.geodesic.org,pankaj@geodesic.org,"IT Enabled services, e-com, Software Development"
Geometric Software Solutions Company Ltd., Mumbai,www.geometricsoftware.com,manup@geometricsoftware.com,"CAD/CAM/CAE/PDM software solutions and development services; Experise in Geometric Modeling Software (Solid and Surface modeling); Data Translation (IGES,STEP, VDA, ACIS, Parasolid, Properitory formats); Feature Recognition (Automatic& Interactive for I"
Global Automation India (P) Ltd, Bangalore,www.global.com,gopal@integratech.soft.net,"Wireless, Internet / Intranet, Development Tools"
Global Business TechnologyServices Pvt Ltd, Chennai,www.gbstindia.com,gopal@gbsindia.com,"Software development for insurance/reinsurancecompanies, Legacy conversion/Maintenance, Systems integration & Data Warehousing, IT Enabledservices"
Global Dialnet Limited, New Delhi,www.globaldialnet.com,care@bharatnet.com,"Software development/solutions, Web solutions, ASP, Internet Technologies"
Global Groupware Solutions Pvt Ltd, New Delhi,www.globalgroupware.com,sk@globalgroupware.com,"Customer Relation Management, Workflow Applications"
Global Infosystems Ltd, New Delhi,www.globalinfosys.org,md@globalinfosys.org,"IT Consultancy, IT cources, Internet services, Customised projects"
Global IT Services Ltd.,Calcutta,www.global-itservices.com,globalis@cal2.vsnl.net.in,"Multi tier client-server systems design & development,Internet Technologies to Support E-business, Data"
Global Software (I) Pvt Ltd,Chennai,www.globalsw.com,knarayan@globalsw.in.com,"CRM, application management, e-commerce,systems integration"
Global Tech India Pvt. Ltd., Ahmedabad,www.thegt.com,paresh@theGT.com,"Customised Software Development, Multilingual Development, Internet / Intranet, Overseas SoftwareDevelopment"
Globalsoft Pvt. Ltd., New Delhi,www.globalsoft.co.in,vivek@globalsoft.co.in,"Broadcasting Software, Advanced Transactions based web poratls, onsite consulting, EmbeddedSystems/software"
Globsyn Technologies Ltd., New Delhi,www.globsyn.com,globsyn@vsnl.com,"Data warehousing, Enterprise solutions (including IBM Mainframe & AS/400), Web Enablement;Multimedia, EDI / E-commerce, Y2K Solutions"
Godrej Infotech Ltd, Mumbai,www.godrej.com,pk@godrej.com,"ERP consultancy, e-commerce solutions, commercial application software development, IT outsourcing"
Goenka Infotech Limited, Hyderabad,www.goenkainfotech.com,susmita.goenka@goenkainfotech.com,"Independent validation & verification, validation of web page, software maitenance & web enabling oflegacy applications, IT application for Power sector"
Goldstone Technologies Ltd,Secunderabad,www.goldstonetech.com,gopalkm@goldstone.net,"Computing, Data Warehousing, Web CentricApplications Distributed"
GrapeCity India Pvt. Ltd., New Delhi,www.grapecity.com,chittora@grapecity.com,"Development and distribution of Active X components, Consulting Services on Microsoft technologies for Internet and Intranet solutions, Marketing, Support and Implementation of Vertical Market Solutions, Support and training on MicrosoftDeveloper platform"
Growth Compusoft Exports Ltd., Ahmedabad,www.growthcompusoft.com,snk@growthcompusoft.com,Client Server Architecture
GTL Limited, Mumbai,www.gtllimited.com,ajaya@gtl.co.in,"Web Technologies / Internet / Intranet, ERP Solutions/ E-commerce / EDI, Telecom Solutions / Billing Solutions / Communication Software, SoftwareDevelopment"
Gujarat Informatics Limited, Gujarat,www.gujaratinformatics.com,md@gujaratinformatics.com,"e-Governance Projects, Customised Software for government, IT Architecturing, InvestmentConsultants"
Gujarat Narmada Valley Fertilizer Company,Ahmedabad,www.gnvfc.net,addesai@gnvfc.com,"Internet & E-commerce services, VSAT communication, LAN/WAN, IT infrastructure, Digitalcertification"
Gujarat Venture Finance Ltd., Ahmedabad,www.gvfl.com,vishnu@ad1.vsnl.net.in,Venture Capital Assistance
Gulf Computers Private Limited, Mumbai,www.egulf.com,smani@egulf.com,"Oracle : Forms 4.5, Imaging Solutions, Y2K Solutions for various software (COBOL, PL1, Mantis, Easytrieve), C/S environment including Oracle tools(D2K, Des2K, Web apps), VB, Push Button,Sybase., AS 400 development, JAVA, Netscape, C++, Spatialware, Map"
Hamilton Research & Technology Pvt. Ltd., Calcutta,www.hamiltonresearch.com,hart@cal.vsnl.net.in,"Turnkey solution for industrial control and communication system, Embedded controller adapted to different applications"
Hays DocumentManagement Pvt. Ltd., Chennai,www.hays-plc.com,venkat_kumar@haysdm.co.uk,"IT Enabled Services/BPO, Data Acquisition, Image/Data Processing"
HCC Infotech Ltd, Mumbai,www.hccinfotech.com,db@hccinfotech.co.in,"Web based ERP applications, Portal Design & Development, Datawarehousing & Mining,"
HCL E Serve Technologies Ltd, Noida,www.eserveglobal.com,vineet.nayyar@hpsglobal.com,"Call centre -Inbound & outbound, Accounting services, Transaction processing, HR Services"
HCL Infosystems Ltd, Noida,www.hclinfosystems.com,akcd@hclinsys.com,"Application development/maintenance, Technicalhelp-desk services, SAP implementation/ABAP programming, Infrastructure services"
HCL Perot Systems Pvt Ltd, Noida,www.hclperot.com,l.ravichandran@hpsglobal.com,"Investment Banking, Telecom, Energy, Migration, E- Services, Object Development"
HCL Technologies Ltd, Noida,www.hcltechnologies.com,sunayna@hclcomnet.co.in,"Client Server, Imaging, Workflow & ERP, Mainframe, Legacy Systems and AS 400 based solutions, Telecom, Networking, Netcentric software & E- Commerce, Embedded Systems, DSP, ASIC Cores &System Software"
Healthscribe India Limited,Bangalore,www.healthscribeindia.com,healthscribe@healthscribe.com,Medical Trascription
Hero Corporate Services Ltd, New Delhi,www.herogroup.com,skmhnjal@herogroup.com,"ERP Implementation, IT Enabled Services, CRM, Back-Office Processing"
Heuristix Systems Pvt Ltd, Bangalore,www.heuristix-india.com,heuristix@vsnl.com,"Software Engineering Services and Real-Time Software Development, Object Oriented Computing Technology and GUI, Software Quality Assurance -Test Suite Development"
Hewlett-Packard (India)Software Operations Pvt Ltd, Bangalore,chatt@india.hp.com,,"Product Development, Complex Software solutiondevelopment, Leading edge technology, middleware and framework development."
Hexaware Technologies Limited, Chennai,www.hexaware.com,pks@hexaware.com,"ERP, E-Business, Euro services, ESM - Enterprisewide Systems Management, Services -Consulting, Maintenance, Development"
Hinduja TMT Ltd, Bangalore,www.hindujatmt.com,rameshck@htmy.soft.net,"Technology, Media & Telecommunications"
Hiperworld Cybertech Ltd, New Delhi,www.hiperworld.com,as@hiperworld.com,"E Commerce-Netbased, WAP, SMS, ApplicationService Provider, B2B, MarketPlace, SCM, DCM, CRM, Payment gateway"
Hi-Tech Compucare, Tripura,,hitecagt1@hotmail.com,"Maintenance and Support, Software Development, Consultancy, Training"
HMA STARware Ltd,Chennai,www.hmastarware.com,harishmurthi@vsnl.com,"Banking Software Products & Services, Middleware &Switching Products"
Holool E-Business Pvt Ltd, Hyderabad,www.holool.com,mohan@holool.com,"E-business, Oracle support services, E-governance, Consulting"
Honeywell India SoftwareOperations Pvt. Ltd., Bangalore,,contact-hiso@honeywell.com,"Real-time embedded systems, Desktop tools, Internet technologies, Mission critical software"
HOPE Technologies Ltd.,New Delhi,www.hopeindia.com,amit.duttagupta@hope-consulting.com,"CAD, CAM / CAE, GIS, Web enabled electroniccataloging"
House of Code (India) Pvt. Ltd., Mumbai,www.houseofcode.com,sunil@houseofcode.com,"Internet and Intranet, Data Web Housing, Web Enablement"
Houston Technologies Ltd, New Delhi,www.houstontechnologies.com,bahuja@housontechnologies.com,"Systems Integration, IT Enabled services, Internet 7E-Commerce, Off-shore Services"
HSBC Electronic Data Processing India Pvt. Ltd., Hyderabad,www.hsbc.com,adrianholland@hsbc.com,"Back office operations, IT Enabled Services"
HTC Software DevelopmentCentre, Chennai,www.htcinc.com,madhava@htcinc.com,"Professional Services, Application Outsourcing,Project Management, Packaged Service"
Huawei Technologies India Pvt Ltd, Bangalore,www.huawei.com,jack@in.huawei.com,"Telecom, Network Management, Datacom, Wireless solutions"
Hughes Software Systems Ltd, Gurgaon,www.hssworld.com,info@hss.hns.com,"Protocol stacks - telecom and data communication, Internet and Electronic Commerce offerings, NetworkManagement and Mediation Device Systems, Intelligent Networks & Switching Solutions"
Human Base India Inc., Bangalore,www.humanbaseindia.com,human@vsnl.com,"Business and Financial Applications, Process ControlApplications, Supply Chain Management Systems, Expertise in Japanese Environment"
Hurix Systems Pvt. Ltd., Mumbai,www.hurix.com,subrat.mohanty@hurix.com,E-learning application
i2 Technologies India Pvt.Ltd. Mumbai,,www.i2.com,firdosh_debara@i2.com,"Electronic business process optimization whichincludes Supply chain management, Product lifecycle management, Customer management"
IBILT Technologies Ltd, NewDelhi,www.ibilttechnologies.com,ashok@ibilttechnologies.com,"Information Strategy planning, Enterprise BusinessApplication, Web Transformation, Network Design & implementation, Knowledge & Data mining"
IBM Global Services IndiaPvt. Ltd., Bangalore,www.ibm.com,ushukla@in.ibm.com,"E-commerce Solutions, ERP Implementation services, Software development and maintenance,Business Intelligence Solutions"
IBS Software Services (P) Ltd, Trivandrum,www.ibsplc.com,vkm@ibsplc.com,"Air transportation business, E-commerce, Web enabling technologies, Finance & Banking,Healthcare"
iCelerate Technologies Private Limited, Bangalore,www.icelerate.com,info@icelerate.com,"Win 95, Win 98, Win NT, C, C++, Web technologies / Database management, Device Drivers / Colour Management / Biometrics, Card personalization including abase management, Device Drivers / Colour Management / Biometrics, Card personalizationincluding ‘Sma"
ICICI Infotech Services Ltd.,Mumbai,www.icici-infotech.com,patilm@infotech.icici.com,"IT Enabled Services, Software Development(Emphasis on Financial Sector)"
ICICI OneSource Limited, Mumbai,www.icicionesource.com,ananda.mukerji@icicibank.com,"Call Centre, IT Enabled Services, Transaction Processing, Business Process Outsourcing"
Icon Data Management Ltd,Noida,www.e-icondata.com,sviswanathan@idml.net,"Back office operations, e-CRM, web centre"
iCope Technologies Private Limited, Bangalore,www.icope.com,icope@icope.com,"Telecommunication, Telematics, Messaging, Internet"
IDBI Intech Ltd Navi, Mumbai,www.idbintech.com,ss.godbole@idbiintech.com,"eCommerce Services, Shared services, Softwaresolutions/product development, systems integration"
Ideaspace Solutions Ltd, Hyderabad,www.ideasp.com,orsrao@ideasp.com,"Entreprise application integration, IT application in Finance, IT application in Utilities, Mobile & Wirelessapplication"
IDS Infotech Limited, Chandigarh,www.idsil.com,partap@idsil.com,"Back Office Operations, Medical Transcription, Call Centres, Marine Software"
i-flex solutions ltd., Mumbai,www.iflexsolutions.com,sunil.robert@iflexsolutions.com,"Mobile business solutions, E-business solutions, Genomics - bioinformatics"
IICE Technologies Ltd, New Delhi,www.webtechnologiesusa.com,president@webcomtechnologiesusa.com,"Web & E-training, Internet solutions, Placements"
IIS Scientific Computing Ltd, Noida,www.scicmp.com,chakra@scicmp.com,"Oil & gas exploration software, GIS, 2D/3D imaging, CAE software & services"
I-Labs Ltd, Hyderabad,www.i-labs.org,ramesh.gopigiri@I-labs.ws,Software products & Services for the Banking &Finance Industry
ILI Technologies Ltd, Bangalore,www.ilitec.com,brbnath@ilitec.com,"Biometrics solutions, RFID Solutions, Authentication Solutions, ASPs"
Impetus Infotech (I) Pvt. Ltd., Indore,www.impetus.com,praveen@impetus.com,"Business to Business Solution Provider, Object oriented technology development, Distributedcomponent architechture & framework, Web/Internet Technology"
InApp InformationTechnologies (I) Pvt Ltd, Trivandrum,www.inapp.com,amar@inapp.com,"Internet & e-commerce, IT enabled services, Multimedia CD authoring"
iNautix Technologies India Pvt Ltd, Chennai,www.inautix.com,schakravarthi@inautix.com,"End-to-end e-commerce solutions, web-enablingfinancial institutions, application development, hosting and support, State-of-the-art client-server technology"
Indchem Software Technologies Ltd, Chennai,www.indchem.com,ramaswamisr@indechem.com,"IT Consulting and Software development solutions to global market to provide end-to-end solutions in B2B,Banking & Insurance, Manufacturing, Mobilecommunications & Healthcare"
India Education Centre Softwares Limited, NewDelhi,www.iecsoftwares.com,cvjain@iecsoftwares.com,"Data Capture Services, Data Processing, Off Shore Services, Training, Turnkey Projects, Data conversion"
India Software Group – ISG,Chennai,www.isg-india.com,jagannathan.v@isg-india.com,"Enterprise Wide Solutions- ERP Implementation -SAP & Oracle and Productivity Improvement Tools - Plexus & Lotus, Datawarehousing & Mining - SAS Tools, Custom Development of Off-Shore and On-site Services, Human Resource Management SystemProduct Develop"
Indiafindit.com, New Delhi,www.indiafindit.com,info@indiafindit.com,"IT Enabled services, Hardware & systems integration,Offshore services, IT consultancy & projects"
Indian Direct Equity Advisors Pvt Ltd, Mumbai,www.ideaequity.com,ssk@bol.net.in,"Venture Capital for IT,"
Indo-Japan Trade CentrePvt. Ltd, New Delhi,www.ijtc.com,indojap@nda.vsnl.net.in,"Embedded Systems : Firmware & Software, Windowsbased softwareâace=Arial size=2>"
Indo-Pacific Software & Entertainment Ltd, Nagpur,www.ipsel.com,info@ipsel.com,"Software Project Planning, Archtecture & Design, Coding & Testing, Integration & Systems testing"
Indorama Software SolutionsLimited, Mumbai,www.irssl.com,sparasrampuria@vsnl.com,"E- Commerce, Client Server application, enterprisesolutions, web - centric solutions"
